sample_id	lake_id	upperpt	lowerpt	midpt	midpt_year	upperpt_year	lowerpt_year	epilimnion_temp	metalimnion_temp	hypolimnion_temp	sdd	epilimnion_tn	epilimnion_tp	epilimnion_ph	epilimnion_oxygen	profundal_tn	profundal_tp	profundal_ph	profundal_oxygen	meanairtemp	precip_eccc	maxairtemp	minairtemp	precip_ela	ice_duration
L224_18.5-19cm	L224	18.5	19	18.75	1886.33979711188	1888.86915745152	1883.72276842882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L224_19-19.5cm	L224	19	19.5	19.25	1881.01541668567	1883.72276842882	1878.21508716576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L226N_0-0.5cm	L226N	0	0.5	0.25	2016.6623943467	2018	2014.41097978396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1999999999999997	869	7.975	-1.175	828.25	152
L226N_0.5-1cm	L226N	0.5	1	0.75	2012.20422173435	2014.41097978396	2010.03963333183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.85	724.75	8.95	-0.8	742.5	145.25
L226N_1-1.5cm	L226N	1	1.5	1.25	2007.91472771036	2010.03963333183	2005.8270180039	NA	NA	NA	NA	0.4	9.6	6.7	NA	NA	NA	NA	NA	3.1	746.5	7.95	-1.45	749.25	158.25
L226N_1.5-2cm	L226N	1.5	2	1.75	2003.77401734642	2005.8270180039	2001.75323887187	15.066666666666666	9.866666666666667	5.366666666666667	3.1	0.4	9.55	6.825	NA	NA	NA	NA	NA	3.0999999999999996	762.75	7.925	-2.175	726	157.25
L226N_2-2.5cm	L226N	2	2.5	2.25	1999.76219571421	2001.75323887187	1997.79840100741	14.225	9.525	5.125	3.075	0.325	7.45	6.825	NA	NA	NA	NA	NA	4.25	812.5	9.05	-0.6499999999999999	808.5	152.25
L226N_2.5-3cm	L226N	2.5	3	2.75	1995.85936788543	1997.79840100741	1993.94260948222	15.35	9.85	5.25	3.125	0.3	7.825	6.85	9.1	0.42500000000000004	14.575	6.4	6.275	2.25	735.75	7.25	-2.6	752.5	172.5
L226N_3-3.5cm	L226N	3	3.5	3.25	1992.04563893175	1993.94260948222	1990.16596936798	13.3	8.8	5.1	3.325	0.35	8.675	6.75	9.275	0.5	15.7	6.325	7.15	2.725	693.25	7.475	-2.275	699.5	167
L226N_3.5-4cm	L226N	3.5	4	3.75	1988.30111392487	1990.16596936798	1986.44858573638	15	9.725	5.45	3.5	0.375	8.125	6.9	9.475000000000001	0.6499999999999999	20.125	6.4	5.325	3.425	611	8	-1.4	589.75	159.5
L226N_4-4.5cm	L226N	4	4.5	4.25	1984.60589793648	1986.44858573638	1982.77056365911	13.266666666666666	8.8	5	3.1333333333333333	0.4	12	6.833333333333334	9.633333333333333	0.7333333333333333	24	6.4	5.9	2.7666666666666666	590.6666666666666	7	-1.4000000000000001	672	152
L226N_4.5-5cm	L226N	4.5	5	4.75	1980.94009603825	1982.77056365911	1979.11200820786	14.2	9.15	5.05	2.575	0.5	15.45	7.025	9.525	1.175	33.225	6.55	4.2	2.275	613.75	6.725	-2.175	617	163.75
L226N_5-5.5cm	L226N	5	5.5	5.25	1977.28381330189	1979.11200820786	1975.45302445431	13.825	9.425	5.2	2.45	0.55	20.725	6.875	9.325	1.15	37.8	6.45	3.925	2.4	567	7	-2.625	673	165
